"Timestamp","Transcript","Summary","Sentiment"
"2025-09-16 20:30:28","Hi, I was trying to book a slot yesterday but the payment failed.","The user tried to book a slot yesterday but the payment did not go through. They’re reporting a payment failure and likely need assistance resolving the issue. The conversation centers on troubleshooting the failed transaction.","negative"
"2025-09-16 20:31:59","hello heello bro hello","The user sends a brief, informal greeting that starts with “hello,” includes a playful misspelling “heello,” addresses the recipient as “bro,” and ends again with “hello.” It is a short, friendly exchange with a lighthearted tone. The conversation consists solely of this casual greeting.","neutral"
"2025-09-16 21:26:26","Hi, I was trying to book a slot yesterday but the payment failed.","The user tried to book a slot yesterday but encountered a payment failure. They are reaching out to report the issue and presumably seek assistance or a resolution. The conversation centers on addressing this payment problem.","negative"
"2025-09-16 21:29:08","Hi, I was trying to book a slot yesterday but the payment failed.","The user attempted to book a slot yesterday but the payment process failed. They’re reaching out to report the issue and presumably seek assistance or a resolution.","negative"
"2025-09-16 21:35:44","Hi, I was trying to book a slot yesterday but the payment failed.","The user attempted to book a slot yesterday but encountered a payment failure. They are looking for assistance to resolve the issue and complete their reservation.","negative"
"2025-09-16 21:36:45","Hi, I was trying to book a slot yesterday but the payment failed.","The user tried to book a slot yesterday but encountered a payment failure. They are reaching out for help or clarification on how to resolve the issue.","**Negative**"
"2025-09-16 21:37:02","Hi, I was trying to book a slot yesterday but the payment failed.","The user reached out to report an issue with their booking. They attempted to reserve a slot the previous day, but the payment process failed, preventing the reservation from going through.","**Sentiment:** negative"
"2025-09-16 21:37:40","Hi, I was trying to book a slot yesterday but the payment failed.","The user reported trying to book a slot yesterday, but the payment process failed. They’re likely seeking assistance to resolve the payment issue and complete their booking.","negative"
"2025-09-16 21:37:51","Hi, I was trying to book a slot yesterday but the payment failed.","The user reached out because they tried to book a slot yesterday and the payment failed. They’re indicating an issue with the payment process and likely need assistance resolving it.","negative"
"2025-09-16 21:38:05","Hi, I was trying to book a slot yesterday but the payment","The user contacted support saying they were trying to book a slot but ran into a payment issue. The message cuts off, so the exact nature of the problem or next steps aren’t provided. No further details or resolution attempts are included in the snippet.","negative"
